school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,school_id,avg_home_attendance,attendance_sd,home_games,home_wins,home_win_pct,lyrics_song_name,lyrics,latitude,longitude
Oregon,Big Ten,Mighty Oregon,DeWitt Gilbert and Albert John Perfect,1916.0,1,1,0,65,80,1,2,1,1,1,0,0,0,1,1,0,5,4zPgdoDF3Od2dwQdPlGJtt,oregon,43568.06,23442.12,155,132,0.8516,Mighty Oregon,"Oregon, our Alma Mater, we will guard thee on and on.

Fellows gather ‘round and cheer her; chant her glory, Oregon.

Roar the praises of her warriors, sing the story, Oregon;

On to victory urge the heroes of our Mighty Oregon.

We will march, march, on down the field, fighting for Oregon.

Plough through the foeman's line their strength we'll defy.

We'll give a long cheer for our men. We're out to win again.

OSU may fight to the end but we will win.
",44.0448,123.0726
UCLA,Big Ten,Sons of Westwood, Harold P. Williams and N. Loyall McLaren; Kelly James,1959.0,0,1,0,72,69,1,3,0,0,0,0,0,1,1,1,1,5,0XxQcPAThn9dOZ6NVFUfGl,ucla,46046.21,28551.57,147,92,0.6259,Sons of Westwood,"We are Sons of Westwood,

And we hail the Blue and Gold;

True to thee our hearts will be,

Our love will not grow old.

Bruins roam the hills of Westwood,

By the blue Pacific shore;

And when they chance to see a man from USC,

Ev'ry Bruin starts to roar.

U! (3 claps)

C! (3 claps)

L! (3 claps)

A! (3 claps)

U-C-L-A! Fight! Fight! Fight!",34.0699,118.4438
USC,Big Ten,"Fight On, USC",Milo Sweet,1922.0,1,1,1,75,60,1,5,1,1,1,0,0,0,1,0,1,5,23EM48kuqZWVltXE9bApcK,usc,55210.37,32430.29,147,116,0.7891,"Fight On, USC","Fight On for ol’ SC

Our men Fight On to victory.

Our Alma Mater dear, looks up to you

Fight On and win for ol’ SC

Fight On to victory. Fight On!",34.0224,118.2851
Washington,Big Ten,Bow Down to Washington,Lester J. Wilson,1915.0,0,1,1,139,89,1,1,1,0,1,1,0,1,0,0,0,4,0OLQPcJ1jMwrXJbt81hHrx,washington,50896.2,28461.16,155,102,0.6581,Bow Down to Washington,"Bow down to Washington

Bow down to Washington

Mighty are the ones who wear the purple and the gold

Joyfully we welcome them within the victor’s fold

We will carve their names in the hall of fame

to preserve the memory of our devotion.

So heaven help the foes of Washington

They’re trembling at the feet of mighty Washington

Our teams are there with bells

Their fighting blood excels

It’s harder to push them over the line than pass the Dardanelles.

So, “VICTORY’S” the cry of Washington

Our leather lungs together with a RAH! RAH! RAH!

And o’er the land the loyal band will sing the glory of Washington forever!",38.6488,90.3108
Notre Dame,Independent,Victory March,Michael J. Shea and John F. Shea,1908.0,0,1,0,152,64,1,1,1,1,1,1,0,1,1,0,0,6,15a3ShKX3XWKzq0lSS48yr,notre_dame,58526.83,34371.72,152,111,0.7303,Victory March,"Rally sons of Notre Dame:

Sing her glory and sound her fame,

Raise her Gold and Blue

And cheer with voices true:

Rah, rah, for Notre Dame

We will fight in ev-ry game,

Strong of heart and true to her name

We will ne'er forget her

And will cheer her ever

Loyal to Notre Dame

Cheer, cheer for old Notre Dame,

Wake up the echoes cheering her name,

Send a volley cheer on high,

Shake down the thunder from the sky.

What though the odds be great or small

Old Notre Dame will win over all,

While her loyal sons are marching

Onward to victory.",41.7052,86.2352
Arizona,Pac-12,"Bear Down, Arizona",Jack K. Lee,1952.0,0,0,0,144,83,0,0,0,0,0,0,0,1,0,0,0,1,2ckfyC5awK1YD3kbOfCHeP,arizona,36801.01,20014.91,154,81,0.526,"Bear Down, Arizona","Bear Down, Arizona

Bear Down, red and Blue

Bear Down, Arizona

Hit 'em hard, let 'em know who's who;

Bear Down, Arizona

Bear Down, Red and Blue

Go, go, Wildcats, go;

Arizona, Bear Down",32.2319,110.9535
Arizona State,Pac-12,Maroon and Gold,Felix McKernan,1948.0,0,1,0,150,106,1,3,1,0,1,0,0,1,0,0,1,4,138TmlsqwA1J0pGeJBoGUS,arizona_state,40333.18,23452.94,154,105,0.6818,Maroon and Gold,"Fight, Devils Down The Field

Fight With Your Might and Don't Ever Yield

Long May Our Colors Outshine All Others

Echo From The Buttes, Give 'Em Hell Devils!

Cheer, Cheer For A-S-U

Fight For The Old Maroon

For it's Hail, Hail, The Gang's All Here

And It's Onward to Victory!",33.423,111.9278
California,Pac-12,Fight for California,Earl Elleson McCoy and Robert N. Fitch,1909.0,0,1,0,134,88,1,2,1,1,1,0,0,1,1,0,0,5,06Qz83gVtmHtWTClrucgjX,california,35744.39,22234.93,148,88,0.5946,Fight for California,"Our sturdy Golden Bear,

Is watching from the skies,

Looks down upon our colors fair,

And guards us from his lair.

Our banner Gold and Blue,

The symbol on it too,

Means FIGHT! for California.

For California through and through!

Stalwarts girded for the fray,

Will strive for victory,

Their all at Mater’s feet will lay,

That brain and brawn will win the day.

Our mighty sons and true

Will strive for us anew,

And FIGHT! for California,

For California through and through!",37.8712,122.2555
Colorado,Pac-12,Fight CU,Richard Durnett,,0,1,0,151,27,1,8,1,1,1,0,0,0,0,0,1,4,0Q3VKlBT4lugyLG5n9LKIz,colorado,36810.62,20731.04,143,74,0.5175,Fight CU,"Fight CU down the field,

CU must win

Fight, fight for victory

CU knows no defeat

We'll roll up a mighty score

Never give in

Shoulder to shoulder

We will fight, fight

Fight, fight, fight!",40.0073,105.266
Oregon State,Pac-12,Hail to Old OSU,Harold Wilkins,1914.0,0,1,0,137,63,1,2,0,0,0,0,0,0,0,0,1,2,4IV43tyrxewZDmBMp2rtHh,oregon_state,29137.98,16599.26,148,90,0.6081,Hail to Old OSU,"OSU our hats are off to you,

Beavers, Beavers fighters thru and thru.

We'll cheer throughout the land,

We'll root for ev'ry plan,

(LET’S X GO X O-S-U!)

Watch our team go tearing down the field,

Those of iron their strength will never yield.

Hail, hail, hail, hail,

Hail to old OSU.

(OSU Fight! B-E-A-V-E-R-S)",44.5618,123.2823
Stanford,Pac-12,Come Join the Band,"Aurania Ellerbeck Rouverol, Robert Browne Hall",1907.0,1,1,0,135,63,0,0,0,1,1,0,0,1,1,0,0,3,3Zw53YIiVtdcQBmwbBQ2JS,stanford,31461.08,19346.31,144,84,0.5833,Come Join the Band,"Come, join the band,

And give a cheer for Stanford red;

Throughout the land

Our banner waving overhead;

Stanford, for you,

Each loyal comrade brave and true,

With might and main sings this refrain,

“Forever and forever Stanford red.”

After the game,

When Stanford red has won the day,

Praising her name

Down on the field we’ll force our way

And on the green

Each man who joins the serpentine

With might and main sings this refrain.

“Forever and forever Stanford red.”",37.4277,122.1701
Utah,Pac-12,Utah Man,Harvey Holmes and the football team,1904.0,0,1,0,168,66,1,1,0,0,0,0,1,1,1,0,0,4,5pwoauvjUb3aRkDDvibaco,utah,35349.27,19913.44,143,110,0.7692,Utah Man,"I am a Utah man (fan), sir, and I live across the green,

Our gang it is the jolliest that you have ever seen.

Our students are the finest and each one's a shining star,

Our yell, you'll hear it ringing through the mountains near and far!

Who am I, sir,

A Utah man (fan) am I!

A Utah man (fan), sir,

Will be 'til I die.

Ki-yi!

We're up to snuff, we never bluff, we're game for any fuss.

No rival band of college fans dare meet us in The Muss.

So fill your lungs and sing it out and shout it to the sky,

We'll fight for dear old crimson for a Utah man (fan) am I!

Ki-yi!

And when we prom the avenue,

All lined up in a row, and arm in arm,

And step in time as down the street we go.

No matter if a freshman green, or in a senior's gown,

the people all admit we are the warmest gang in town.

We may not live forever on this jolly good sphere,

But while we do we'll live a life of merriment and cheer,

And when our college days are o'er and night is drawing nigh,

With parting breath we'll sing that song: “A Utah man (fan) Am I.”",40.7649,111.8421
Washington State,Pac-12,The Fight Song,Zella Melcher and Phyllis Sayles,1919.0,1,1,0,81,64,1,7,1,1,1,0,0,1,0,0,1,5,5VErX42t9bSJGas8aOtQyD,washington_state,23990.65,14009.35,144,81,0.5625,The Fight Song,"Fight, fight, fight for Washington State

Win the victory,

Win the day for Crimson and Gray!

Best in the West,

We know you'll all do your best,

So on, on, on, on!

Fight to the end!

Honor and glory you must win!

So fight, fight, fight for Washington State and

Victory!

W-A-S-H-I-N-G-T-O-N

S-T-A-T-E

C-O-U-G-S

Go Cougs!",46.7289,117.1468
Alabama,SEC,Yea Alabama,Ethelred Lundy (Epp) Sykes,1926.0,1,1,1,153,59,1,3,1,1,1,0,0,1,1,1,0,6,1lkKK6lbsPYD6n5QZbiH1q,alabama,74266.93,40369.38,167,144,0.8623,Yea Alabama,"Yea, Alabama! Drown 'em Tide!

Every 'Bama man's behind you,

Hit your stride.

Go teach the Bulldogs to behave,

Send the Yellow Jackets to a watery grave.

And if a man starts to weaken,

That's a shame!

For Bama's pluck and grit have

Writ her name in Crimson flame.

Fight on, fight on, fight on men!

Remember the Rose Bowl, we'll win then.

Go, roll to victory,

Hit your stride,

You're Dixie's football pride,

Crimson Tide, Roll Tide, Roll Tide!!",33.2114,87.5401
Arkansas,SEC,Arkansas Fight,William Edwin Douglass,1913.0,1,1,0,77,88,1,3,0,0,0,1,0,0,0,0,1,3,20iLjYvQOdAO3lPYkfycGn,arkansas,51457.77,27856.15,160,96,0.6,Arkansas Fight,"Hit that line! Hit that line!

Keep on going!

Move that ball right down the field!

Give a cheer. Rah! Rah!

Never fear. Rah! Rah!

Arkansas will never yield!

On your toes, Razorbacks, to the finish,

Carry on with all your might!

For it’s A-A-A-R-K-A-N-S-A-S

for Arkansas!

Fight! Fight! Fi-i-i-ight!",36.0687,94.1748
Auburn,SEC,War Eagle,Robert Allen and Al Stillman,1955.0,0,1,0,77,27,1,1,1,1,1,0,0,1,0,0,0,4,1WSPADIiYIO5GfNTJ2vwnM,auburn,64682.55,36500.45,172,127,0.7384,War Eagle,"War Eagle, fly down the field,

Ever to conquer, never to yield.

War Eagle, fearless and true.

Fight on you orange and blue.

Go! Go! Go!

On to vict'ry, strike up the band.

Give 'em hell, give 'em hell,

Stand up and yell, hey!

War Eagle, win for Auburn,

Power of Dixieland!",32.5981,85.4943
Florida,SEC,The Orange and Blue,George Hamilton and Thornton Whitney Allen,1925.0,0,1,0,71,66,1,1,0,0,0,0,0,1,0,0,0,2,15yyBZUfgNbft50mMB7a4V,florida,65545.55,37599.94,157,122,0.7771,The Orange and Blue,"So give a cheer for the Orange and Blue

Waving Forever!

Forever pride of Old Florida,

May she droop never.

We’ll sing a song for the flag today,

Cheer for the team at play!

On to the goal,

We’ll fight our way for

Flor-i-da!

Go Gators!",29.6465,82.3533
Georgia,SEC,"Glory, Glory","Hugh Hodgson, based on traditional song",1915.0,1,0,0,162,41,0,0,0,0,0,0,0,0,0,0,1,1,7masdC1Jz6f4okFu4tAwOz,georgia,71204.98,38116.4,153,129,0.8431,"Glory, Glory","Glory, glory to old Georgia!

Glory, glory to old Georgia!

Glory, glory to old Georgia!

G-E-O-R-G-I-A.

Glory, glory to old Georgia!

Glory, glory to old Georgia!

Glory, glory to old Georgia!

G-E-O-R-G-I-A.",33.9423,83.3724
Kentucky,SEC,On! On! U of K,Troy Perkins and Charles A. Lampert,1923.0,1,1,1,79,52,1,4,1,1,1,0,0,1,0,0,1,5,6QMYhg8EaZm7P1n4FZrCWB,kentucky,46409.14,25123.44,168,94,0.5595,On! On! U of K,"On, on, U of K, we are right for the fight today,

Hold that ball and hit that line;

Ev'ry Wildcat star will shine;

We'll fight, fight, fight, for the blue and white

As we roll to that goal, Varsity,

And we'll kick, pass and run, 'till the battle is won,

And we'll bring home the victory.",38.0307,84.504
LSU,SEC,Fight for LSU,Castro Carazo and W.G. Higginbotham,1937.0,0,1,0,168,83,1,5,0,1,1,1,0,1,0,0,1,5,5AeAxCC07c4eyWY8eKopQ4,lsu,74161.08,39832.21,170,144,0.8471,Fight for LSU,"Like Knights of old, Let's fight to hold

The glory of the Purple Gold.

Let's carry through, Let's die or do

To win the game for dear old LSU.

Keep trying for that high score;

Come on and fight,

We want some more, some more.

Come on you Tigers, Fight! Fight! Fight!

for dear old L-S-U.

RAH!",30.4102,91.1857
Mississippi,SEC,Forward Rebels,E.F. Yerby,,0,1,0,153,65,1,6,1,1,1,0,0,1,0,0,0,4,301ClIQs4cI8poO11mklxg,mississippi,44643.7,24284.98,161,103,0.6398,Forward Rebels,"Forward Rebels, march to fame,

Hit that line and win this game,

We know that you'll fight it through,

For your colors Red and Blue — Fight, Fight, Fight.

Rebels you're the Southland's pride,

Take that ball and hit your stride,

Don't stop 'till the victory's won,

For your Ole Miss.

Fight, fight for your Ole Miss.",34.3662,89.538
Mississippi State,SEC,Hail State,Joseph Peavey,1936.0,0,1,1,146,54,1,2,1,1,1,0,0,0,0,0,1,4,3WN6SK7WfjUSRDFH4PlMNV,mississippi_state,40681.77,22583.5,158,88,0.557,Hail State,"Hail dear ol' State!

Fight for that victory today.

Hit that line and tote that ball,

Cross the goal before you fall!

And then we'll yell, yell, yell, yell!

For dear ol' State

we'll yell like H-E-L-L!

Fight for Mis-sis-sip-pi State,

Win that game today!",33.4577,88.7942
Missouri,SEC,Fight Tiger,Donald MacKay and Robert Karsch,1946.0,1,1,1,138,86,1,4,1,1,1,0,0,0,0,0,0,3,4nrVmzJetWGvMa3OKGJm2Q,missouri,45135.54,24370.44,157,111,0.707,Fight Tiger,"Fight, Tiger, fight for old Mizzou,

Right behind you, everyone is with you.

Break the line and follow down the field,

And, you’ll be, on the top, upon the top.

Fight, Tiger, you will always win,

Proudly keep the colors flying skyward.

In the end, we’ll win the victory,

So Tiger, fight for Old Mizzou!
",38.9404,92.3277
South Carolina,SEC,The Fighting Gamecocks Lead the Way (Step to the Rear),"Paul Dietzel and Elmer Bernstein, arranged by James Pritchard",1968.0,0,1,0,153,64,1,4,0,1,1,0,0,1,0,0,1,4,65X66oBRmSp8gDkoRGbLjD,south_carolina,60622.01,32797.41,163,110,0.6748,The Fighting Gamecocks Lead the Way (Step to the Rear),"Hey, Let’s give a cheer, Carolina is here,

The Fighting Gamecocks lead the way.

Who gives a care, If the going gets tough,

And when it is rough, that’s when the ‘Cocks get going.

Hail to our colors of garnet and black,

In Carolina pride have we.

So, Go Gamecocks Go - FIGHT!

Drive for the goal - FIGHT!

USC will win today - GO COCKS!

So, let’s give a cheer, Carolina is here.

The Fighting Gamecocks All The Way",33.9949,81.0285
Tennessee,SEC,Rocky Top,Felice and Boudleaux Bryant,1967.0,0,0,0,149,53,0,0,0,0,0,0,0,0,0,0,0,0,5BRY9YO0PDey8RQcDOV9aP,tennessee,74566.57,42250.25,169,115,0.6805,Rocky Top,"Wish that I was on ol’ Rocky Top

Down in the Tennessee hills

Ain’t no smoggy smoke on Rocky Top

Ain’t no telephone bills

Once I had a girl on Rocky Top

Half bear, the other half cat

Wild as a mink, but sweet as soda pop

I still dream about that

Rocky Top you’ll always be

Home sweet home to me

Good ol’ Rocky Top

Rocky Top Tennessee, Rocky Top Tennessee",35.9544,83.9295
Texas A&M,SEC,Aggie War Hymn,J.V. “Pinky” Wilson,1918.0,1,0,1,117,172,1,1,0,0,0,0,1,0,1,1,0,4,4mssGSMkmNIv0XR5e6j9Ky,texas_aandm,71036.76,39059.78,160,111,0.6938,Aggie War Hymn,"Hullabaloo, Caneck, Caneck

Hullabaloo, Caneck, Caneck

Good bye to Texas University

So long to the orange and the white

Good luck to dear old Texas Aggies

They are the boys who show the real old fight

'the eyes of Texas are upon you'

That is the song they sing so well

Sounds Like Hell

So good bye to Texas University

We're gonna beat you all to

Chigaroogarem

Chigaroogarem

Rough, Tough, Real stuff, Texas A&M;

Saw varsity's horns off

Saw varsity's horns off

Saw varsity's horns off

Short! A!

Varsity's horns are sawed off

Varsity's horns are sawed off

Varsity's horns are sawed off

Short! A!
",30.6187,96.3364
Vanderbilt,SEC,Dynamite,Francis Craig,1941.0,0,1,0,72,45,1,3,1,1,1,0,0,0,0,0,0,3,5tXWqJHiTDHRYtOngsBPAW,vanderbilt,24329.07,14201.87,156,63,0.4038,Dynamite,"Dynamite, Dynamite

When VANDY starts to fight.

Down the field with blood to yield,

If need be, save the shield.

If vict'ry's won, when battle's done,

Then VANDY's name will rise in fame.

Win not lose,

It's ours to choose,

And VANDY's game will be the same.

Dynamite, Dynamite

When VANDY starts to fight!

Fight!",36.1447,86.8027
